,Unnamed: 0,compound,negative,neutral,positive,screen_name,created_at,full_text,full_text_3,retweet_count,favorite_count,user_mentions
17,17,0.0,0.0,1.0,0.0,jimcramer,2019-01-11 18:43:18,The watch needs to have a handshake with the medical communitynot there yet ,,5,44,"[{""screen_name"": ""MayoClinic"", ""name"": ""Mayo Clinic"", ""id"": 14592723, ""id_str"": ""14592723"", ""indices"": [81, 92]}, {""screen_name"": ""MayoClinicHS"", ""name"": ""MayoClinicHealthSys"", ""id"": 21888985, ""id_str"": ""21888985"", ""indices"": [93, 106]}]"
18,18,0.0,0.0,1.0,0.0,jimcramer,2019-01-11 18:44:28,RT Companies are going through business model changes and digital transformations and the role of the CEO is different th ,"""Companies are going through business model changes and digital transformations and the role of the CEO is different than it used to be,” said Salesforce co-CEO @KeithBlock on @MadMoneyOnCNBC with @JimCramer. Watch the full interview: https://t.co/GinnXKHtPZ https://t.co/GkJIiGRHij",9,0,"[{""screen_name"": ""SalesforceNews"", ""name"": ""SalesforceNews"", ""id"": 900086244499111936, ""id_str"": ""900086244499111936"", ""indices"": [3, 18]}]"
19,19,0.6369,0.0,0.488,0.512,jimcramer,2019-01-11 21:02:43,Another reason to love Ubertonight,,5,60,[]
20,20,0.7351,0.0,0.326,0.674,jimcramer,2019-01-11 21:03:55,I hope to keep your trust ,,3,68,[]
21,21,0.3612,0.0,0.545,0.455,jimcramer,2019-01-11 21:33:32,thank you so much ,,4,30,[]
22,22,0.4588,0.0,0.769,0.231,jimcramer,2019-01-12 02:15:03,CES Takeaway As Internet of Things Grows Chipmakers Stand to Benefit ,,15,70,"[{""screen_name"": ""EricJhonsa"", ""name"": ""Eric Jhonsa"", ""id"": 572077039, ""id_str"": ""572077039"", ""indices"": [73, 84]}]"
23,23,0.0,0.0,1.0,0.0,jimcramer,2019-01-13 16:49:34,this stuff always happens go long it because you believe in the rest of the slate I prefer Take Two TTWO ,,12,16,[]
24,24,-0.2732,0.259,0.741,0.0,jimcramer,2019-01-13 16:49:49,RT Stock Picking Portfolio Management and Risk ,"Stock Picking, Portfolio Management and Risk. https://t.co/fj9hgHCsff @jimcramer @dougkass @realmoney https://t.co/E09T3uAAy5",16,0,"[{""screen_name"": ""RevShark"", ""name"": ""James DePorre"", ""id"": 602811570, ""id_str"": ""602811570"", ""indices"": [3, 12]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [86, 96]}, {""screen_name"": ""DougKass"", ""name"": ""Douglas Kass"", ""id"": 19988458, ""id_str"": ""19988458"", ""indices"": [97, 106]}, {""screen_name"": ""realmoney"", ""name"": ""Real Money"", ""id"": 390812646, ""id_str"": ""390812646"", ""indices"": [107, 117]}]"
25,25,0.765,0.0,0.233,0.767,jimcramer,2019-01-13 16:51:35,strong culture strong stock ,,14,49,[]
26,26,-0.128,0.077,0.9229999999999999,0.0,jimcramer,2019-01-13 18:21:48,Th Saints are both tough and likable But lets mot call this game yet The line is daunting though ,,8,81,[]
27,27,0.0,0.0,1.0,0.0,jimcramer,2019-01-13 23:13:10,We aren t done ,,22,292,[]
28,28,0.8834,0.0,0.493,0.507,jimcramer,2019-01-14 09:15:19,thank you Eagles for a fantastic end to a season We love you Alshon flyeaglesfly,,21,396,[]
29,29,0.0516,0.239,0.486,0.275,jimcramer,2019-01-14 12:18:46,Total agreement with this but Foles had a makeshift offensive line and weak running game to contend with gave us a great season ,,8,100,"[{""screen_name"": ""Eagles"", ""name"": ""Philadelphia Eagles"", ""id"": 180503626, ""id_str"": ""180503626"", ""indices"": [110, 117]}]"
30,30,0.3612,0.0,0.878,0.122,jimcramer,2019-01-14 12:21:33,Are we sending out too much if we are going to be an all natural gassolar system one day ,,8,13,[]
31,31,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 13:13:15,Earnings Season is here and this week is about the banks ,,10,19,"[{""screen_name"": ""Sarge986"", ""name"": ""Stephen Guilfoyle"", ""id"": 378334234, ""id_str"": ""378334234"", ""indices"": [59, 68]}]"
32,32,-0.34,0.324,0.6759999999999999,0.0,jimcramer,2019-01-14 14:01:24,Put us on we on fire ,,4,80,[]
33,33,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 14:10:29, StockoftheDay Citigroup sets inauspicious start to bank earnings via ,,1,6,"[{""screen_name"": ""realmoney"", ""name"": ""Real Money"", ""id"": 390812646, ""id_str"": ""390812646"", ""indices"": [1, 11]}, {""screen_name"": ""KevinCurranRM"", ""name"": ""Kevin Curran"", ""id"": 1026819747457982465, ""id_str"": ""1026819747457982465"", ""indices"": [82, 96]}]"
34,34,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 14:17:01,Getting hit on light volume ,,2,13,[]
35,35,-0.5994,0.43799999999999994,0.562,0.0,jimcramer,2019-01-14 14:26:17,But will it survive thermonuclear war ,,3,23,[]
36,36,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 14:26:25,RT Is it now or never Heres what has moving on ,Is it now or never? Here's what @JimCramer has moving on @RealMoney: https://t.co/xStZPl1BLW https://t.co/oYNVqsTmy1,6,0,"[{""screen_name"": ""TheStreet"", ""name"": ""TheStreet"", ""id"": 15281391, ""id_str"": ""15281391"", ""indices"": [3, 13]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [47, 57]}, {""screen_name"": ""realmoney"", ""name"": ""Real Money"", ""id"": 390812646, ""id_str"": ""390812646"", ""indices"": [72, 82]}]"
37,37,0.5994,0.0,0.6920000000000001,0.308,jimcramer,2019-01-14 14:46:01,RT Can a bankruptcy actually create an investing opportunity Looking at you SHLD PCG ,"Can a bankruptcy actually create an investing opportunity? Looking at you, $SHLD, $PCG: https://t.co/3lSXLVqIf6 https://t.co/Djo445vDaN",5,0,"[{""screen_name"": ""TheStreet"", ""name"": ""TheStreet"", ""id"": 15281391, ""id_str"": ""15281391"", ""indices"": [3, 13]}]"
38,38,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 14:48:33,3000 people get on these calls i suggest you trial the club ahead of the call ,,5,20,[]
39,39,0.1406,0.0,0.9209999999999999,0.079,jimcramer,2019-01-14 14:50:25,RT Trumps econ is doing well amp raising wagesadults on the sidelines r rejoining workforce but 2 maintain elevated pace of ,"“Trump's econ is doing well &amp; raising wages-adults on the sidelines r rejoining workforce but 2 maintain elevated pace of growth without running into crippling shortages of engineers,etc. requires D’s 2 support immigration reform &amp; make tax cuts permanent” https://t.co/dO0ikkivM3",11,0,"[{""screen_name"": ""DanRDimicco"", ""name"": ""Dan DiMicco"", ""id"": 2391609504, ""id_str"": ""2391609504"", ""indices"": [3, 15]}]"
40,40,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 14:58:36,RT and are back at 10 ET ,.@JimCramer and @KatherineRooss are back at 10 ET https://t.co/qjLTRYPOyX,5,0,"[{""screen_name"": ""TheStreet"", ""name"": ""TheStreet"", ""id"": 15281391, ""id_str"": ""15281391"", ""indices"": [3, 13]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [16, 26]}]"
41,41,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 16:10:05,Latest from the Daily Diary ,,3,6,"[{""screen_name"": ""DougKass"", ""name"": ""Douglas Kass"", ""id"": 19988458, ""id_str"": ""19988458"", ""indices"": [16, 25]}, {""screen_name"": ""realmoney"", ""name"": ""Real Money"", ""id"": 390812646, ""id_str"": ""390812646"", ""indices"": [26, 36]}]"
42,42,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 16:21:52,Huh I have said i cant figure out how come this stock has rallied so much Sparky ,,4,27,[]
43,43,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 16:22:09,big call ,,3,14,[]
44,44,0.4926,0.096,0.638,0.266,jimcramer,2019-01-14 16:22:39,RT Dont worry well be on all angles for stockoftheday C the first article is focused ,"@Pnote23 @jimcramer @realmoney Don't worry , we'll be on all angles for #stockoftheday $C , the first article is focused on the macro front. Second article will cover the company in depth and trading strategies shortly after the analyst call in 30 mins.",3,0,"[{""screen_name"": ""KevinCurranRM"", ""name"": ""Kevin Curran"", ""id"": 1026819747457982465, ""id_str"": ""1026819747457982465"", ""indices"": [3, 17]}, {""screen_name"": ""Pnote23"", ""name"": ""Peter"", ""id"": 1073668708730576897, ""id_str"": ""1073668708730576897"", ""indices"": [19, 27]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [28, 38]}, {""screen_name"": ""realmoney"", ""name"": ""Real Money"", ""id"": 390812646, ""id_str"": ""390812646"", ""indices"": [39, 49]}]"
45,45,-0.7351,0.38299999999999995,0.617,0.0,jimcramer,2019-01-14 16:51:31,The tug of war between a technical breadth breakout and weakening economic fundamentals ,,4,28,"[{""screen_name"": ""DougKass"", ""name"": ""Douglas Kass"", ""id"": 19988458, ""id_str"": ""19988458"", ""indices"": [89, 98]}]"
46,46,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 17:12:04,RT Could blockchain be as big as the cloud ,Could blockchain be as big as the cloud? https://t.co/OMU1SCUUpQ https://t.co/fXvzM5diQZ,9,0,"[{""screen_name"": ""TheStreet"", ""name"": ""TheStreet"", ""id"": 15281391, ""id_str"": ""15281391"", ""indices"": [3, 13]}]"
47,47,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 18:20:02,CES takeaways for AMD and Intel Alibaba and and augmented reality ,,1,21,"[{""screen_name"": ""EricJhonsa"", ""name"": ""Eric Jhonsa"", ""id"": 572077039, ""id_str"": ""572077039"", ""indices"": [92, 103]}]"
48,48,-0.5994,0.39399999999999996,0.606,0.0,jimcramer,2019-01-14 20:02:04,s talks the war brewing in the markets ,,3,12,"[{""screen_name"": ""realmoney"", ""name"": ""Real Money"", ""id"": 390812646, ""id_str"": ""390812646"", ""indices"": [1, 11]}, {""screen_name"": ""DougKass"", ""name"": ""Douglas Kass"", ""id"": 19988458, ""id_str"": ""19988458"", ""indices"": [14, 23]}]"
49,49,0.4168,0.0,0.59,0.41,jimcramer,2019-01-14 20:04:29,different views do not hurt ,,1,9,[]
50,50,0.8885,0.0,0.5489999999999999,0.451,jimcramer,2019-01-14 20:04:36,RT Pleasure to join for the first time I wish I had better news to report about Americans savings im ,"Pleasure to join @CNBCTheExchange for the first time! I wish I had better news to report about Americans' #savings, impact on furloughed workers and others facing financial hardship. https://t.co/MpiMMsTAPG @CNBC #ShutdownStory",11,0,"[{""screen_name"": ""sharon_epperson"", ""name"": ""Sharon Epperson"", ""id"": 59325665, ""id_str"": ""59325665"", ""indices"": [3, 19]}, {""screen_name"": ""CNBCTheExchange"", ""name"": ""The Exchange"", ""id"": 19674395, ""id_str"": ""19674395"", ""indices"": [38, 54]}]"
51,51,0.2023,0.0,0.9209999999999999,0.079,jimcramer,2019-01-14 20:04:45,RT Whats on the top of s mind Find out during his next membersonly Action Alerts Plus call on January 17 at 1130 ,What's on the top of @JimCramer's mind? Find out during his next members-only Action Alerts Plus call on January 17 at 11:30 ET. Tune in here: https://t.co/8tdvoGfJRD https://t.co/DzIP8K9e4t,5,0,"[{""screen_name"": ""TheStreet"", ""name"": ""TheStreet"", ""id"": 15281391, ""id_str"": ""15281391"", ""indices"": [3, 13]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [36, 46]}]"
52,52,0.7902,0.0,0.682,0.318,jimcramer,2019-01-14 20:04:57,RT Great hosting at looking forward for bringing more opportunities for drivers and shippers in 2019 htt ,Great hosting @jimcramer at @UberFreight ! looking forward for bringing more opportunities for drivers and shippers in 2019 https://t.co/rWmRZ6rbxR,5,0,"[{""screen_name"": ""lioron"", ""name"": ""Lior Ron"", ""id"": 6401392, ""id_str"": ""6401392"", ""indices"": [3, 10]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [26, 36]}, {""screen_name"": ""UberFreight"", ""name"": ""Uber Freight"", ""id"": 776246567669866496, ""id_str"": ""776246567669866496"", ""indices"": [40, 52]}]"
53,53,-0.0258,0.11,0.785,0.105,jimcramer,2019-01-14 20:44:10,RT Actually over 60 of the jobs created during the Obama administration were low paying service job ,"@johnhbridges @jimcramer Actually over 60% of the jobs created during the Obama administration were low paying service jobs. The jobs being created today r a much lower %. U r entitled 2 your wrongful views. U couldn’t present accurate facts so u revert 2 name calling, so typical. Have a good day! #Trump",10,0,"[{""screen_name"": ""DanRDimicco"", ""name"": ""Dan DiMicco"", ""id"": 2391609504, ""id_str"": ""2391609504"", ""indices"": [3, 15]}]"
54,54,0.765,0.0,0.47600000000000003,0.524,jimcramer,2019-01-14 20:45:45,Coach loves the fans too Just a good person ,,5,18,[]
55,55,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 20:46:22,NVDA Nvidia making a stand again,,20,139,[]
56,56,0.5719,0.0,0.812,0.188,jimcramer,2019-01-14 20:58:20,What if you won the lottery Mark Bordelove breaks down what it would mean for your retirement ,,8,10,[]
57,57,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 21:01:56,RT Thats a pass Jeffrey catches 99 out of 100 times But despite all the injuries the gave everyt ,"@jimcramer @Eagles That's a pass Jeffrey catches 99 out of 100 times. But despite all the injuries, the @Eagles gave everything they had, and gave us two more weeks than I expected. Godspeed to Nick Foles. He'll be missed.",6,0,"[{""screen_name"": ""ricksharga"", ""name"": ""Rick Sharga"", ""id"": 148105880, ""id_str"": ""148105880"", ""indices"": [3, 14]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [16, 26]}, {""screen_name"": ""Eagles"", ""name"": ""Philadelphia Eagles"", ""id"": 180503626, ""id_str"": ""180503626"", ""indices"": [27, 34]}, {""screen_name"": ""Eagles"", ""name"": ""Philadelphia Eagles"", ""id"": 180503626, ""id_str"": ""180503626"", ""indices"": [120, 127]}]"
58,58,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 21:16:51,You have to watch tonight s show to understand this one ,,3,42,"[{""screen_name"": ""MadMoneyOnCNBC"", ""name"": ""Mad Money On CNBC"", ""id"": 16451932, ""id_str"": ""16451932"", ""indices"": [33, 48]}]"
59,59,-0.29600000000000004,0.23199999999999998,0.636,0.132,jimcramer,2019-01-14 21:22:43,Jump on We have been fighting the good fight for years before Trump You need to focus ,,9,73,[]
60,60,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 21:42:51,RT ,@jimcramer @MadMoneyOnCNBC https://t.co/Ob5mjl9Owo,1,0,"[{""screen_name"": ""RealScottHaag"", ""name"": ""Scott Haag"", ""id"": 2799016573, ""id_str"": ""2799016573"", ""indices"": [3, 17]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [19, 29]}, {""screen_name"": ""MadMoneyOnCNBC"", ""name"": ""Mad Money On CNBC"", ""id"": 16451932, ""id_str"": ""16451932"", ""indices"": [30, 45]}]"
61,61,0.6289,0.09300000000000001,0.6559999999999999,0.252,jimcramer,2019-01-14 22:13:45,RT sbux already gave us china commentary already fell on apple warning price action is STRONG Seems ready for a big ,"@jimcramer sbux already gave us china commentary, already fell on apple warning. price action is STRONG. Seems ready for a big jump, no?",3,0,"[{""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [12, 22]}]"
62,62,-0.1531,0.16699999999999998,0.833,0.0,jimcramer,2019-01-14 22:42:17,I will miss everything from San Francisco except for this ,,2,72,[]
63,63,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 22:46:48,AMDs CTO Talks to About Next Gen Chips and Keeping Up With Rivals ,,6,14,"[{""screen_name"": ""EricJhonsa"", ""name"": ""Eric Jhonsa"", ""id"": 572077039, ""id_str"": ""572077039"", ""indices"": [19, 30]}]"
64,64,0.0,0.0,1.0,0.0,jimcramer,2019-01-14 22:47:09,why dont you trial the club to see what i have to say about them JPM and CRM ,,6,24,[]
65,65,-0.2732,0.207,0.69,0.10300000000000001,jimcramer,2019-01-15 00:23:50,RT This low wage low hr job creation dominated the slow recovery years It s a fact not a kn ,"@mnvirg @jimcramer @johnhbridges This low wage low hr job creation dominated the slow recovery years. It’s a fact not a knock on Obama, well maybe somewhat. But a fact nonetheless",8,0,"[{""screen_name"": ""DanRDimicco"", ""name"": ""Dan DiMicco"", ""id"": 2391609504, ""id_str"": ""2391609504"", ""indices"": [3, 15]}]"
66,66,0.5994,0.0,0.836,0.16399999999999998,jimcramer,2019-01-15 01:33:05,you need to understand that oil is totally in charge thats why the futures are up The only thing that came out tonight is PLAYs good report,,11,92,[]
67,67,0.2023,0.0,0.625,0.375,jimcramer,2019-01-15 01:37:29,I recommended Bitcoin at 250 ,,9,167,[]
68,68,0.4404,0.0,0.508,0.49200000000000005,jimcramer,2019-01-15 01:43:53,Marley is a good boy ,,13,390,[]
69,69,0.4939,0.0,0.909,0.091,jimcramer,2019-01-15 08:48:41,So oil goes up because of Chinese stimulus which then sends up the SampP Pretty much so Does anyone think that the stimulus will actually work if our markets are shut to them,,18,139,[]
70,70,-0.3612,0.132,0.804,0.065,jimcramer,2019-01-15 08:58:25,It is small but Qualcomm just lost a patent challenge against Apple in Germany Lets see if it impacts the futures,,30,144,[]
71,71,0.0,0.0,1.0,0.0,jimcramer,2019-01-15 08:58:36,RT Weve seen this movie before ,@jimcramer We've seen this movie before... https://t.co/4rKnmtkGCd,10,0,"[{""screen_name"": ""IvanTheK"", ""name"": ""Ivan the K\u2122"", ""id"": 197869772, ""id_str"": ""197869772"", ""indices"": [3, 12]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [14, 24]}]"
72,72,0.4404,0.149,0.496,0.355,jimcramer,2019-01-15 13:31:21,Health Care Stocks Face Political Risk How Is Playing Netflix ,,4,6,"[{""screen_name"": ""Sarge986"", ""name"": ""Stephen Guilfoyle"", ""id"": 378334234, ""id_str"": ""378334234"", ""indices"": [44, 53]}]"
73,73,0.4404,0.0,0.508,0.49200000000000005,jimcramer,2019-01-15 14:18:12,Tell me something good,,28,339,[]
74,74,0.3182,0.0,0.753,0.247,jimcramer,2019-01-15 14:20:39, What do you have on the price increase,,1,1,"[{""screen_name"": ""JohnLegere"", ""name"": ""John Legere"", ""id"": 1394399438, ""id_str"": ""1394399438"", ""indices"": [0, 11]}]"
75,75,0.2023,0.0,0.9209999999999999,0.079,jimcramer,2019-01-15 14:27:29,RT Whats on the top of s mind Find out during his next membersonly Action Alerts Plus call on January 17 at 1130 ,What's on the top of @JimCramer's mind? Find out during his next members-only Action Alerts Plus call on January 17 at 11:30 ET. Tune in here: https://t.co/8tdvoGfJRD https://t.co/MlF8AQlZX4,3,0,"[{""screen_name"": ""TheStreet"", ""name"": ""TheStreet"", ""id"": 15281391, ""id_str"": ""15281391"", ""indices"": [3, 13]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [36, 46]}]"
76,76,0.1779,0.272,0.37,0.358,jimcramer,2019-01-15 14:27:59, We got it no thanks,,1,4,"[{""screen_name"": ""JohnLegere"", ""name"": ""John Legere"", ""id"": 1394399438, ""id_str"": ""1394399438"", ""indices"": [0, 11]}]"
77,77,-0.2755,0.345,0.655,0.0,jimcramer,2019-01-15 14:42:51,I do not like THCTenet Health,,5,29,[]
78,78,0.0,0.0,1.0,0.0,jimcramer,2019-01-15 14:43:15,We need more ,,1,14,"[{""screen_name"": ""coreydu"", ""name"": ""Corey duBrowa"", ""id"": 5442642, ""id_str"": ""5442642"", ""indices"": [13, 21]}]"
79,79,0.0,0.0,1.0,0.0,jimcramer,2019-01-15 14:44:06,Chief its AAPL ,,7,66,[]
80,80,-0.25,0.16699999999999998,0.833,0.0,jimcramer,2019-01-15 14:47:30,FAANG rally leads NAZZ and lots of Cloud King moves offense,,3,38,[]
81,81,-0.5719,0.48100000000000004,0.519,0.0,jimcramer,2019-01-15 14:50:52,Sherwin Williams preannounced negative numbers ,,4,26,[]
82,82,0.0,0.0,1.0,0.0,jimcramer,2019-01-15 15:02:56,RT and are LIVE from the ,.@JimCramer and @KatherineRooss are LIVE from the @NYSE https://t.co/l5yHB1aTSV,5,0,"[{""screen_name"": ""TheStreet"", ""name"": ""TheStreet"", ""id"": 15281391, ""id_str"": ""15281391"", ""indices"": [3, 13]}, {""screen_name"": ""jimcramer"", ""name"": ""Jim Cramer"", ""id"": 14216123, ""id_str"": ""14216123"", ""indices"": [16, 26]}]"
